id,term,category,token_type,default_value,psl_video_id,video_status,dictionary_match,dictionary_url,dictionary_note
equivalent,Equivalent,Operators & Expressions,OP_EQUAL,,,linked_from_dictionary,partial,https://psl.org.pk/dictionary/53-mathematics/7393-equivalent,Verify covers == sense specifically
curly_bracket,Curly Bracket,Syntax & Compilation,BRACE,,,linked_from_dictionary,exact,https://psl.org.pk/dictionary/53-mathematics/7343-curly-bracket,Confirmed
square_brackets,Square Brackets,Syntax & Compilation,BRACKET,,,linked_from_dictionary,exact,https://psl.org.pk/dictionary/53-mathematics/7738-square-brackets,Confirmed
finite_set,Set,Data Structures,SET,,,linked_from_dictionary,partial,https://psl.org.pk/dictionary/53-mathematics/7421-finite-set,"Verify general set sense, not just math finite-set"
comma,Comma,Syntax & Compilation,COMMA,,,linked_from_dictionary,exact,https://psl.org.pk/dictionary/41-grammar/2223-comma,Confirmed
full_stop,Full Stop / Period,Syntax & Compilation,PERIOD,,,linked_from_dictionary,exact,https://psl.org.pk/dictionary/41-grammar/2231-full-stop,Confirmed
number_one,One,Variables & Data,NUMBER_LITERAL,1,,linked_from_dictionary,exact,https://psl.org.pk/dictionary/58-numbers/6006-one,"Confirmed individual digit sign, carries a real literal value"
number_two,Two,Variables & Data,NUMBER_LITERAL,2,,linked_from_dictionary,exact,https://psl.org.pk/dictionary/58-numbers/7775-two,"Confirmed individual digit sign, carries a real literal value"
number_three,Three,Variables & Data,NUMBER_LITERAL,3,,linked_from_dictionary,exact,https://psl.org.pk/dictionary/58-numbers/7761-three,"Confirmed individual digit sign, carries a real literal value"
number_five,Five,Variables & Data,NUMBER_LITERAL,5,,linked_from_dictionary,exact,https://psl.org.pk/dictionary/58-numbers/7426-five,"Confirmed individual digit sign, carries a real literal value"
number_seven,Seven,Variables & Data,NUMBER_LITERAL,7,,linked_from_dictionary,exact,https://psl.org.pk/dictionary/58-numbers/7708-seven,"Confirmed individual digit sign, carries a real literal value"
number_eight,Eight,Variables & Data,NUMBER_LITERAL,8,,linked_from_dictionary,exact,https://psl.org.pk/dictionary/58-numbers/7378-eight,"Confirmed individual digit sign, carries a real literal value"
number_nine,Nine,Variables & Data,NUMBER_LITERAL,9,,linked_from_dictionary,exact,https://psl.org.pk/dictionary/58-numbers/7598-nine,"Confirmed individual digit sign, carries a real literal value"
number_ten,Ten,Variables & Data,NUMBER_LITERAL,10,,linked_from_dictionary,exact,https://psl.org.pk/dictionary/58-numbers/3702-10,"Confirmed individual digit sign, carries a real literal value"
number_twenty,Twenty,Variables & Data,NUMBER_LITERAL,20,,linked_from_dictionary,exact,https://psl.org.pk/dictionary/58-numbers/3703-20,"Confirmed individual digit sign, carries a real literal value"
number_hundred,One Hundred,Variables & Data,NUMBER_LITERAL,100,,linked_from_dictionary,exact,https://psl.org.pk/dictionary/58-numbers/3711-100,"Confirmed individual digit sign, carries a real literal value"
